,comment,target
42,"The material on graph analytics was of introductory level. A string of interesting ideas, with unclear explanations. The lesson on GraphX was basically a copy-paste introduction to it's abilities without actually teaching how to use it. The transcripts are full of mistakes. Someone not proficient in English or hard of hearing would be confused by them. It was somewhat difficult to understand the main lecturer. The best part was the explanation of Neo4j - and it was at an introductory level. A disappointment.","{'materi': ['material'], 'graph analyt': ['graph analytics'], 'level': ['level'], 'idea': ['ideas'], 'explan': ['explanations', 'explanation'], 'lesson': ['lesson'], 'graphx': ['GraphX'], 'introduct': ['introduction'], 'transcript': ['transcripts'], 'mistak': ['mistakes'], 'someon': ['Someone'], 'hear': ['hearing'], 'lectur': ['lecturer'], 'part': ['part'], 'neo4j': ['Neo4j']}"
43,"Great course. The reason I did not give it five stars because I thought the last week of the course was not up to par with the first 4 weeks. The lessons on Giraph and GraphX were confusing in my opinion and the hands on exercise did not really clear things up for me. Otherwise, a great course.","{'cours': ['course'], 'star': ['stars'], 'week': ['weeks', 'week'], 'par': ['par'], 'lesson': ['lessons'], 'giraph': ['Giraph'], 'graphx': ['GraphX'], 'opinion': ['opinion'], 'hand': ['hands'], 'exercis': ['exercise'], 'thing': ['things']}"
44, interesting practices with neo4j ,"{'practic': ['practices'], 'neo4j': ['neo4j']}"
45,"I enjoyed a lot specially with the additional materials, giving insight to more in-depth concepts. I guess similar approach would help enrich the course if the course could also provide some basics of Scala so that we do not just copy and paste the commands. I am a programmer myself, but scripts like Scala have their own's very special culture that one has to adapt to it. It is not like Java or C++ which are easier to follow. ","{'lot': ['lot'], 'materi': ['materials'], 'insight': ['insight'], 'concept': ['concepts'], 'approach': ['approach'], 'cours': ['course'], 'basic': ['basics'], 'scala': ['Scala'], 'copi': ['copy'], 'script': ['scripts'], 'cultur': ['culture'], 'java': ['Java'], 'c++': ['C++']}"
46,Very informative with handson exercises. ,{'handson exercis': ['handson exercises']}
47,Suggest to remove the peer-grade assessment as it could be bias ,{'bias': ['bias']}
48,Excellent course to get acquainted with the Graps ,{'cours': ['course']}
49,not much explanation about the syntax of the commands given in excercises,"{'explan': ['explanation'], 'syntax': ['syntax']}"
50,"Great course to get familiar with graph data, graph big data, and query languages in graph data.","{'cours': ['course'], 'graph data': ['graph data']}"
51,"It started well, but it became a little hard when Java came in. Apart from that, it was great.",{'java': ['Java']}
52,Very good project! Hopefully it will be helpful in my future career!,"{'project': ['project'], 'career': ['career']}"
53,"A good topic to continue building upon big data with Graphs, however Week 5 needs some more understandable examples and exercises. ","{'topic': ['topic'], 'data': ['data'], 'graph': ['Graphs'], 'week': ['Week'], 'exampl': ['examples'], 'exercis': ['exercises']}"
54,This is one of the toughest and most interesting course at it deals with big data in graph database. Highly recommend this course to those who wants to know graph database.,"{'cours': ['course'], 'data': ['data'], 'graph databas': ['graph database']}"
55,"Thanks to this program, I was able to obtain a job as a data scientist in a big data environment. I built a graphical database using neo4j, which no one else at my workplace had thought to do. I really appreciate the training I got through this specialization.","{'thank': ['Thanks'], 'program': ['program'], 'job': ['job'], 'data scientist': ['data scientist'], 'data environ': ['data environment'], 'graphic databas': ['graphical database'], 'neo4j': ['neo4j'], 'one': ['one'], 'train': ['training'], 'special': ['specialization']}"
