,comment,target
210,"Amazing course, I learnt a lot.","{'cours': ['course'], 'lot': ['lot']}"
211,Very good material but often too fragmentend messy. The notes would need re-writing.,"{'materi': ['material'], 'messi': ['messy']}"
212,"This course is great, if you want to get into it. This was the first time I have been exposed to linear and generalized linear regression. I was overwhelmed by so much information and knowledge that I needed extra time to understand and to bring the pieces from week 1 to week 4 together. The peer reviews weren't in my case not very helpful. I missed concrete feedback on my approach and the result. I would have appreciated some kind of assurance that the achieved results are of quality and on the level of data scientist. ","{'cours': ['course'], 'time': ['time'], 'regress': ['regression'], 'inform': ['information'], 'knowledg': ['knowledge'], 'piec': ['pieces'], 'week': ['week'], 'peer review': ['peer reviews'], 'case': ['case'], 'feedback': ['feedback'], 'approach': ['approach'], 'result': ['results', 'result'], 'kind': ['kind'], 'assur': ['assurance'], 'qualiti': ['quality'], 'level': ['level']}"
213,"Important material, poorly taught.",{'materi': ['material']}
214,Great Course,{'great cours': ['Great Course']}
215,Content regarding variable selection is kind of rough.,"{'content': ['Content'], 'select': ['selection'], 'kind': ['kind']}"
216,"Excellent course, but you have to use other materials from different courses as well.","{'cours': ['course', 'courses'], 'materi': ['materials']}"
217,I really enjoyed this course. I think the toughest for a newbie like me was the second course R programming. But the following courses including this one flow very well and are easy to follow with real life examples. It does get easier after the second course,"{'cours': ['course', 'courses'], 'newbi': ['newbie'], 'cours r program': ['course R programming'], 'flow': ['flow'], 'life exampl': ['life examples']}"
218,A little monotonous sometimes. Otherwise good.,{}
219,Excellent course.,{'cours': ['course']}
220,To fast pace and missing lot of content to make this lesson enjoyable!!!,"{'pace': ['pace'], 'lot': ['lot'], 'content': ['content'], 'lesson': ['lesson'], '!!': ['!!']}"
221,great courses!!! very practical but no a lot of mathemetics,"{'cours': ['courses'], 'lot': ['lot']}"
222,This is a great course. The content clearly explains the regression model.,"{'cours': ['course'], 'content': ['content'], 'regress model': ['regression model']}"
223, Very Nice! ,{}
224,"Very interesting course, yet course content could be spread more evenly week 4 is really a lot ","{'cours': ['course'], 'cours content': ['course content'], 'week': ['week'], 'lot': ['lot']}"
225,Was tough but thoroughly had fun completing it. Its a cleverly designed course.,"{'fun': ['fun'], 'cours': ['course']}"
226,"This course is much improved, when compared with Statistical Inference. The instructor have put much effort in making the lectures interesting and casual, at the same time not loosing the value of contents. I especially liked some subtle jokes - just a finishing human touch.Some lectures from 4th week were not very well rehearser and shot hastily. Some quiz question were disproportionately difficult, but most of material is covered in course or course materials. Otherwise the course is very educational. ","{'cours': ['course'], 'infer': ['Inference'], 'instructor': ['instructor'], 'effort': ['effort'], 'time': ['time'], 'valu': ['value'], 'content': ['contents'], 'joke': ['jokes'], 'touch.som': ['touch.Some'], 'week': ['week'], 'quiz question': ['quiz question'], 'materi': ['material'], 'cours materi': ['course materials']}"
227,Hard but rewarding work that I think is perfect for Data Science.,"{'work': ['work'], 'data scienc': ['Data Science']}"
