,comment,target
81,A Great Course to understand the Cyber Conflicts issue. Highly recommend to individuals learning Cyber security or planning to go in that direction. Thank you to the Course Team for making the material easy to understand and interactive lessons !!,"{'cours': ['Course'], 'cyber conflict issu': ['Cyber Conflicts issue'], 'individu': ['individuals'], 'cyber secur': ['Cyber security'], 'direct': ['direction'], 'cours team': ['Course Team'], 'materi': ['material'], 'lesson': ['lessons']}"
82,Excellent.,{}
83,"This course - analyses the Cyberworld - and what it is there for the people of the world. Very well compiled syllabus, course contents and assigment quizzes. Thanks to the Professors of State University of NewYork as well as Coursera.","{'cours': ['course'], 'syllabus': ['syllabus'], 'cours content': ['course contents'], 'thank': ['Thanks'], 'professor': ['Professors'], 'state': ['State']}"
84,solid course,{'cours': ['course']}
85,A political view of the Cyber Conflicts.,"{'view': ['view'], 'cyber conflict': ['Cyber Conflicts']}"
86,"Nice blend of psychology, game theory, international relations and cyberwarfare, enriched with all kind of examples from the nuclear arms race.","{'psycholog': ['psychology'], 'game theori': ['game theory'], 'relat': ['relations'], 'cyberwarfar': ['cyberwarfare'], 'kind': ['kind'], 'exampl': ['examples'], 'arm race': ['arms race']}"
87,Fantastic Course enrich ,{'cours': ['Course']}
88,Interesting,{}
89,"Course material was interesting but very rudimentary, the courses biggest challenge was understanding its spoken English. I do not recommend this course.","{'cours materi': ['Course material'], 'cours': ['courses', 'course'], 'challeng': ['challenge'], 'english': ['English']}"
90,"It takes time for me, as a non English spoken, to understand some professor's accent. Overall, I learned a lot from this course. This course helped me understand what causes of cyberattack are, the wa","{'time': ['time'], 'professor': ['professor'], 'accent': ['accent'], 'lot': ['lot'], 'cours': ['course']}"
91,Good way to be introduced into this topic.,"{'way': ['way'], 'topic': ['topic']}"
92,informative and simple to follow,{}
93,general view on the subject. some interesting ideas.,"{'view': ['view'], 'subject': ['subject'], 'idea': ['ideas']}"
94,GREAT,{}
95,Very interesting topic with high level of explanation and references to self studies.,"{'topic': ['topic'], 'level': ['level'], 'explan': ['explanation'], 'refer': ['references']}"
96,"I thought SPECTACULAR HOW PROVIDING CLASSES, making THOSE WHO LIVE IN OTHER COUNTRIES, SITUATIONS AND POWER NOTE PROVIDING SUCH INFORMATION ABOUT ONE OR OTHERWISE COMMUNICATE IN OUR COMMUNITIES. ","{'how provid class': ['HOW PROVIDING CLASSES'], 'countri': ['COUNTRIES'], 'situat': ['SITUATIONS'], 'power': ['POWER'], 'or otherwis communic': ['OR OTHERWISE COMMUNICATE'], 'our communiti': ['OUR COMMUNITIES']}"
97,Good course . good introduction to the topic.,"{'cours': ['course'], 'introduct': ['introduction'], 'topic': ['topic']}"
98,"The lectures are very well-organized. The topics are also cover in this field. However, the lectures are very dry and boring. The main professor were reading the scripts on the monitor. From my perspective, with his knowledge in this field as being described on his personal web site, he should be able to talk comfortably by looking at the topic on the slide then discuss about it in detail. I would suggest to change the environment to be at the wide open space, like coffee shop, to make this course more attractive. I'm sorry, it is not what I expected.","{'topic': ['topics', 'topic'], 'field': ['field'], 'professor': ['professor'], 'script': ['scripts'], 'perspect': ['perspective'], 'knowledg': ['knowledge'], 'web site': ['web site'], 'detail': ['detail'], 'space': ['space'], 'coffe shop': ['coffee shop'], 'cours': ['course']}"
99,Superb course. Gave me a lot of insights.,"{'cours': ['course'], 'lot': ['lot'], 'insight': ['insights']}"
100,"Course in not only just about theory of cyber security But also ,It also accommodates psychological view to cyber world This makes it more interesting The brief part of law related to cyber security buttress the content maturity However, More information on privacy should be added If done ,course is a 5 star Course Moreover, every lecture gives information.So, efficiently crafted out of course Overall,it's worth taking and worth time spending","{'cours': ['Course', 'course'], 'theori': ['theory'], 'cyber secur': ['cyber security'], 'view': ['view'], 'part': ['part'], 'law': ['law'], 'secur': ['security'], 'matur': ['maturity'], 'inform': ['information'], 'privaci': ['privacy'], 'star cours': ['star Course']}"
