,comment,target
59,The course is excellent.The professor is very clear and presents many concepts and resources usefuls.,"{'cours': ['course'], 'excellent.th professor': ['excellent.The professor'], 'resourc': ['resources'], 'concept use': ['concepts usefuls']}"
60,Great course! Really complete To who is going to do it Read the additional resources always! These are really useful,"{'cours': ['course'], 'resourc': ['resources']}"
61,Excellent course!,{'cours': ['course']}
62,E,{}
63,GOOD!!,{}
64,"A lot of people says the course is boring because of the instructor but, for me he his doing well and i quite grab a lot from him things i didn't catch up before in previous Bootstrap course i took. his pace is perfectly ok and i had no problem with accent or something. I give him 5 stars","{'lot': ['lot'], 'peopl': ['people'], 'cours': ['course'], 'instructor': ['instructor'], 'thing': ['things'], 'bootstrap cours': ['Bootstrap course'], 'pace': ['pace'], 'problem': ['problem'], 'accent': ['accent'], 'someth': ['something'], 'star': ['stars']}"
65,Loved it,{}
66,Good Course Work!! Very Good Faculty!!,"{'cours work': ['Course Work'], 'faculti': ['Faculty']}"
67,Lecturer is too boring and volume is too low. ,"{'lectur': ['Lecturer'], 'volum': ['volume']}"
68,The only problem on this journey with Jogesh sir is that it seems like I have got to know his quirkiness so well that he feels like someone I would love to know personally but can't! I enjoy the way he seems to simplify concepts and bring them together in the end to make even the most difficult concept seem entirely simple.,"{'problem': ['problem'], 'journey': ['journey'], 'sir': ['sir'], 'someon': ['someone'], 'way': ['way'], 'concept': ['concepts', 'concept'], 'end': ['end']}"
69,"Great course, well designed, everything is great, but there's always a room for improvement. may be more excercises will help improve it","{'cours': ['course'], 'everyth': ['everything'], 'room': ['room'], 'improv': ['improvement'], 'excercis': ['excercises']}"
70,"Really great! The materials, exercises and assignments. I would defiantly recommend someone to do this. One will have a great appreciation for bootstrap and the tools covered in this course.","{'materi': ['materials'], 'exercis': ['exercises'], 'assign': ['assignments'], 'someon': ['someone'], 'appreci': ['appreciation'], 'bootstrap': ['bootstrap'], 'tool': ['tools'], 'cours': ['course']}"
71,Very interesting.,{}
72,Excellent course for boot-strap,"{'cours': ['course'], 'boot-strap': ['boot-strap']}"
73,So Userfull and funny course. it's very good if you want to leard front web UI developer.,"{'userful cours': ['Userfull course'], 'web ui develop': ['web UI developer']}"
74,"This course was awesome! The mentor taught all the topics with such great ease and in the correct order. Not only the coding part was given value, its implications were also kept in mind. I would like to recommend this course to enhance your front-end skills. This course gives you whatever it has promised. Do check this course ","{'cours': ['course'], 'mentor': ['mentor'], 'topic': ['topics'], 'eas': ['ease'], 'order': ['order'], 'part': ['part'], 'valu': ['value'], 'mind': ['mind'], 'front-end skill': ['front-end skills']}"
75,Excellent lecturer. Gained a deeper insight into Bootstrap.,"{'lectur': ['lecturer'], 'insight': ['insight'], 'bootstrap': ['Bootstrap']}"
76,Great course!,{'cours': ['course']}
77,"Very good course to take, the instructor will walk step by step through the course. Although is one course but gives you lots of components needed to be a good front-end developer. Some people saying in their comments that the course or the instructor is boring, but I'm telling you from my experience this course is worth to take it and to be frank no course is easy or sweet no matter who teach just be patient and you will learn. Thanks ","{'cours': ['course'], 'instructor': ['instructor'], 'step': ['step'], 'lot': ['lots'], 'compon': ['components'], 'front-end develop': ['front-end developer'], 'peopl': ['people'], 'comment': ['comments'], 'experi': ['experience'], 'matter': ['matter'], 'patient': ['patient'], 'thank': ['Thanks']}"
78,The accent and rhythm of Jogesh makes it difficult to follow the course.There is no extra information in addition to the presentation. The teacher is only reading the slides which makes the experience quite limited boring.The content is enough to get an idea of Bootstrap basic functionality.,"{'accent': ['accent'], 'rhythm': ['rhythm'], 'jogesh': ['Jogesh'], 'course.ther': ['course.There'], 'inform': ['information'], 'addit': ['addition'], 'present': ['presentation'], 'teacher': ['teacher'], 'slide': ['slides'], 'experi': ['experience'], 'boring.th content': ['boring.The content'], 'idea': ['idea'], 'bootstrap function': ['Bootstrap functionality']}"
79,Great and smooth,{'great': ['Great']}
80,Excellent Course to learn Responsive web design,"{'cours': ['Course'], 'web design': ['web design']}"
81,Excellent,{}
82,Good course ,{'cours': ['course']}
83,fantastic Course !,{'cours': ['Course']}
84," This course is a whoa!!! I recommend it for every new comer to bootstrap. I love the way the instructor Jogesh K Muppala took the course. Very simple to understand, well explained, very brief with nice practice exercise. Thanks for making the course available. I learnt a lot from it ","{'cours': ['course'], 'whoa': ['whoa'], 'comer': ['comer'], 'bootstrap': ['bootstrap'], 'way': ['way'], 'instructor k muppala': ['instructor K Muppala'], 'practic exercis': ['practice exercise'], 'thank': ['Thanks'], 'lot': ['lot']}"
85,The lecturer's narration is a little embarrassing... ,"{'lectur': ['lecturer'], 'narrat': ['narration']}"
86,great course with a lot of useful content. Bootstrap and Bower are very powerful tools!,"{'cours': ['course'], 'lot': ['lot'], 'content': ['content'], 'bootstrap': ['Bootstrap'], 'bower': ['Bower'], 'tool': ['tools']}"
87,Great course!! ,{'cours': ['course']}
88,good course all basics,"{'cours': ['course'], 'basic': ['basics']}"
89,Great Introduction to Bootstrap!,"{'introduct': ['Introduction'], 'bootstrap': ['Bootstrap']}"
90,Super Awesome!Thanks!!,{}
91,Excellent follow up to the first module.,{'modul': ['module']}
92,Great course!!!,{'cours': ['course']}
93,Good content! Lengthy but informative!,{'content': ['content']}
94,Quite Informative. Trust me this is among one of the best bootstrap tutorial you can find on the internet.,"{'bootstrap tutori': ['bootstrap tutorial'], 'internet': ['internet']}"
95,very nice course! I learn a lot from it!,"{'cours': ['course'], 'lot': ['lot']}"
96,good,{}
97,excellent experience going through the course,"{'experi': ['experience'], 'cours': ['course']}"
98,"A great one, no less.",{}
99,I recommend this course 100%,"{'cours': ['course'], '%': ['%']}"
100,thank you..,{}
101,Great Course with a great prof who makes great jokes,"{'cours': ['Course'], 'prof': ['prof'], 'joke': ['jokes']}"
102,Great Course.,{'cours': ['Course']}
103,A nice and complete course about front-end Frameworks. ,"{'cours': ['course'], 'framework': ['Frameworks']}"
104,Nice course on Bootstrap. From an entry level to a fairly advanced in just four pretty intensive weeks.,"{'cours': ['course'], 'bootstrap': ['Bootstrap'], 'entri level': ['entry level'], 'week': ['weeks']}"
105,love it. the best ever,{'love': ['love']}
106,It's great and full of useful information,{'inform': ['information']}
