,comment,target
162,"The highest video production values of any class I've seen on Coursera so far. Unfortunately, that's the best part of the class; the support is simply nonexistent a post by someone associated with the staff from a previous run of the course suggests getting help troubleshooting Python from Coursera staff , the instructions for the class software are out of date, the source material for the assignments is sometimes unsuitable to the task you're asked to perform e.g. statistical analysis on a data set aggregated from disparate sources , and the pretty videos are at times completely unrelated to the actual assignments the very first week with the literature review Dropping this specialization like a hot coal; it looked quite promising, but the aggravation over the poor organization and lack of support considerably outweighs anything I could get out of it.","{'video product valu': ['video production values'], 'class': ['class'], 'coursera': ['Coursera'], 'part': ['part'], 'support': ['support'], 'staff': ['staff'], 'run': ['run'], 'cours': ['course'], 'help': ['help'], 'python': ['Python'], 'coursera staff': ['Coursera staff'], 'instruct': ['instructions'], 'class softwar': ['class software'], 'date': ['date'], 'sourc materi': ['source material'], 'assign': ['assignments'], 'task': ['task'], 'analysi': ['analysis'], 'data set': ['data set'], 'video': ['videos'], 'time': ['times'], 'week': ['week'], 'literatur review': ['literature review'], 'special': ['specialization'], 'coal': ['coal'], 'aggrav': ['aggravation'], 'organ': ['organization'], 'lack': ['lack'], 'anyth': ['anything']}"
163,Very nice lecture videos and explanations! Totally worth it,"{'lectur video': ['lecture videos'], 'explan': ['explanations']}"
164,"The course is a very good introduction to Python for data exploration and management. That being said, it focuses too much on categorical data analysis, and I felt the transition to quantitative continuous data was not very well done.Moreover, some more explanations about several Python functions or coding choices could be better explained.But it's encouraging to see this type of statistical course for Python and not R!! Again!","{'cours': ['course'], 'introduct': ['introduction'], 'python': ['Python'], 'data explor': ['data exploration'], 'manag': ['management'], 'data analysi': ['data analysis'], 'data': ['data'], 'explan': ['explanations'], 'python function': ['Python functions'], 'choic': ['choices'], 'explained.but': ['explained.But'], 'type': ['type'], 'r': ['R']}"
165,Great course! Perfect for starting in analysis of data,"{'cours': ['course'], 'perfect': ['Perfect'], 'analysi': ['analysis'], 'data': ['data']}"
166,The slides are excellent and instructions are clear and to the point. But that point is very limited. The main negative about this class is that there is absolutely no student TA teacher feedback and you're pretty much on your own learning. ,"{'slide': ['slides'], 'instruct': ['instructions'], 'point': ['point'], 'class': ['class'], 'ta teacher feedback': ['TA teacher feedback'], 'learn': ['learning']}"
167,"I have never used SAS. I have done minimal statistics and my major in university was Sociology, which I did 20 years ago. So needless to say, I don't remember much. This course was easy to understand and was structured in a way to build upon knowledge from one week to the next. ","{'sas': ['SAS'], 'statist': ['statistics'], 'univers': ['university'], 'year': ['years'], 'cours': ['course'], 'way': ['way'], 'knowledg': ['knowledge'], 'week': ['week']}"
168,Great step to learn data analysis in SAS! ,"{'step': ['step'], 'data analysi': ['data analysis'], 'sas': ['SAS']}"
169,"They put a lot of effort into this course, but especially for the videos it was a bit too much. So many different visual backgrounds, sounds, music, text floating it... It's as if they just wanted to use everything, while never thinking about when it would start being too distracting.","{'lot': ['lot'], 'effort': ['effort'], 'cours': ['course'], 'video': ['videos'], 'bit': ['bit'], 'background': ['backgrounds'], 'everyth': ['everything']}"
170,Beautifully designed course. Really helps me understand basic data analysis and improve reporting skills. ,"{'cours': ['course'], 'data analysi': ['data analysis'], 'skill': ['skills']}"
171,Good Learning experience and loved the way of teaching.,"{'learn experi': ['Learning experience'], 'way': ['way']}"
172,excellent course especially for those interested into playing with data,"{'cours': ['course'], 'data': ['data']}"
