,comment,target
1885,a good job,{'job': ['job']}
1886,It's not bad but I think the other courses in this specialization are much better,"{'cours': ['courses'], 'special': ['specialization']}"
1887,This a great beginners Course.Each concept is explained clearly and precisely.,{'beginn course.each concept': ['beginners Course.Each concept']}
1888,"Thank you, this course is very helpful and I learned great things from it","{'cours': ['course'], 'thing': ['things']}"
1889,Well planned course. A little too easy though,{'cours': ['course']}
1890,"A nice, short introductory course to web programming languages. May move a little fast for a newbie.","{'cours': ['course'], 'web program languag': ['web programming languages'], 'may': ['May'], 'newbi': ['newbie']}"
1891,"This course was very nice. It was kind of a bit basic, but that's what I've expected of a beginner course which is covering basic and the most important factors of web technologies. The reason I give 4 stars is that everything is too much served on the plate. Assignments are prepared really, really well, which kind of loses the point. You almost don't need to think about anything to finish the assignment. Overall, awesome course!","{'cours': ['course'], 'kind': ['kind'], 'bit': ['bit'], 'beginn cours': ['beginner course'], 'factor': ['factors'], 'web technolog': ['web technologies'], 'reason': ['reason'], 'star': ['stars'], 'everyth': ['everything'], 'assign': ['Assignments', 'assignment'], 'point': ['point'], 'anyth': ['anything']}"
1892,Awesome!Perfect!,{}
1893,Nice course,{'cours': ['course']}
1894,"Nice course, although it could be even better if it lasted for 4 weeks, where the last week would cover pure javascript in much more depth.","{'cours': ['course'], 'week': ['week', 'weeks'], 'javascript': ['javascript'], 'depth': ['depth']}"
1895,A complete and didactic course.,{'cours': ['course']}
1896,One week shorter than other similar courses but the eLearning lectures are of excellent quality and the assignments do stretch you to learn ,"{'week': ['week'], 'cours': ['courses'], 'qualiti': ['quality'], 'assign': ['assignments']}"
1897,Good course!,{'cours': ['course']}
1898,super,{}
1899,Great! platform to improve our skills.....,"{'platform': ['platform'], 'skill': ['skills']}"
1900,"This is a nice course and it was worth learning it from COURSERA!!! Both the pattern of the course and videos are precise and to the point. Also, self-paced makes it possible to get adjusted according to everyone schedule.","{'cours': ['course'], 'coursera': ['COURSERA'], 'pattern': ['pattern'], 'video': ['videos'], 'point': ['point'], 'everyon schedul': ['everyone schedule']}"
1901,"Excellent work, gives all basic knowledge to a new comer to web development and HTML CSS basics. Needs more practical examples if possible. ","{'work': ['work'], 'knowledg': ['knowledge'], 'comer': ['comer'], 'web develop': ['web development'], 'html css basic': ['HTML CSS basics'], 'need': ['Needs'], 'exampl': ['examples']}"
1902,Good course the teacher is a good teacher,"{'cours': ['course'], 'teacher': ['teacher']}"
1903,Really great to get yourself jump-stated! Excellent lectures too!,{}
1904,I want more practice,{'practic': ['practice']}
1905,Really covers the basics,{'basic': ['basics']}
1906,"I enjoyed taking this course. It was my first touch with Html, CSS and Javascript... and I can say that I learnt a lot. ","{'cours': ['course'], 'touch': ['touch'], 'html': ['Html'], 'css': ['CSS'], 'javascript': ['Javascript'], 'lot': ['lot']}"
1907,Good explanation of the concepts. Need commintment,"{'explan': ['explanation'], 'concept': ['concepts']}"
1908,great course. it offers a great background about html css and js,"{'cours': ['course'], 'background': ['background'], 'html css': ['html css'], 'js': ['js']}"
1909,"great course,learned a lot!","{'cours': ['course'], 'lot': ['lot']}"
1910,It's a good course for beginner student,"{'cours': ['course'], 'beginn student': ['beginner student']}"
1911,such a great course !,{'cours': ['course']}
1912,3rd project can be made little more simpler !!! for begineer its really difficult ,"{'project': ['project'], 'begin': ['begineer']}"
1913, Great ,{'great': ['Great']}
1914,"In my opinion this course is too simple for anyone who have a bit of programming experience. On other hand, it is a base course and it is excellent for any other person with no experience. ","{'opinion': ['opinion'], 'cours': ['course'], 'anyon': ['anyone'], 'bit': ['bit'], 'program experi': ['programming experience'], 'hand': ['hand'], 'base cours': ['base course'], 'person': ['person'], 'experi': ['experience']}"
1915,Very fun course and clear to understand. I would redo them just for fun but don't have time for that yet!,"{'fun cours': ['fun course'], 'fun': ['fun'], 'time': ['time']}"
1916,I think this course is very successful. ,{'cours': ['course']}
1917,Very good introduction,{'introduct': ['introduction']}
1918,"Loved the real-world concepts, great starter course on HTML, CSS and JS","{'concept': ['concepts'], 'cours': ['course'], 'html': ['HTML'], 'css': ['CSS'], 'js': ['JS']}"
1919,"Very well taught course. I finally understand how Javascript, HTML and CSS come together to form a webpage. Highly recommend this course!","{'cours': ['course'], 'javascript': ['Javascript'], 'html': ['HTML'], 'css': ['CSS']}"
1920,"Not very good explain javascript. After this course I had many questions about this language, I not understood it enough.","{'javascript': ['javascript'], 'cours': ['course'], 'question': ['questions'], 'languag': ['language']}"
1921,Good course with quite a bit of material,"{'cours': ['course'], 'bit': ['bit'], 'materi': ['material']}"
1922,"A very good way to learn the basics of HTML, CSS and Javascript, or refresh your old knowledge and learn some new skills. Very easy to understand even if english is not your language. I recommend it.","{'way': ['way'], 'basic': ['basics'], 'html': ['HTML'], 'css': ['CSS'], 'javascript': ['Javascript'], 'knowledg': ['knowledge'], 'skill': ['skills'], 'languag': ['language']}"
1923,Very good course for beginners.,"{'cours': ['course'], 'beginn': ['beginners']}"
1924,Good assignment.,{'assign': ['assignment']}
1925,it is a very good beginner level course and i enjoyed it a lot,"{'beginn level cours': ['beginner level course'], 'lot': ['lot']}"
1926,"Even though I had some previous knowledge of HTML, CSS and Javascript, I still learn quite a few useful things trough the course. Definitely recommend to all beginners!","{'knowledg': ['knowledge'], 'html': ['HTML'], 'css': ['CSS'], 'javascript': ['Javascript'], 'thing': ['things'], 'cours': ['course'], 'beginn': ['beginners']}"
1927,Awesome! Amazing! These online courses ARE the Future!,{'cours': ['courses']}
1928,great course,{'cours': ['course']}
1929,A bit too simple for my liking. And too many repeated content. But overall a good course for an absolute beginner.,"{'bit': ['bit'], 'like': ['liking'], 'content': ['content'], 'cours': ['course'], 'beginn': ['beginner']}"
1930,A brilliant course. I had a great time going through the lectures and had fun with the assignments. Thank you for this course.,"{'cours': ['course'], 'time': ['time'], 'fun': ['fun'], 'assign': ['assignments']}"
1931,"Very very good, I learnt so much in this course.Thanks coursera for the oportunity.","{'course.thank coursera': ['course.Thanks coursera'], 'oportun': ['oportunity']}"
1932,"Quickly covered basic HTML, JS, and CSS.Assignment descriptions were clear.There were a few tricky bits mostly related to styling that were more frustrating than it seems like they should have been, but overall a very good course. However, the project time given for the course is very optimistic, it usually always took much longer.","{'html': ['HTML'], 'js': ['JS'], 'css.assign descript': ['CSS.Assignment descriptions'], 'clear.ther': ['clear.There'], 'bit': ['bits'], 'cours': ['course'], 'project time': ['project time']}"
1933,"I tried to study HTML, CSS and JS at first. Because his lectures was so detail, I could understand it. ","{'html': ['HTML'], 'css': ['CSS'], 'js': ['JS'], 'detail': ['detail']}"
1934,"Overall, I found the course to be an excellent refresher and, in some ways, an expander of my existing HTML, CSS and JS knowledge. The only suggestion I would offer is to explain how and why the particular information is useful. Examples can cement an abstract concept. ","{'cours': ['course'], 'refresh': ['refresher'], 'way': ['ways'], 'html': ['HTML'], 'css': ['CSS'], 'js knowledg': ['JS knowledge'], 'suggest': ['suggestion'], 'inform': ['information'], 'exampl': ['Examples'], 'concept': ['concept']}"
1935,"Pretty good basic overview of HTML, CSS and Javascript.","{'pretti overview': ['Pretty overview'], 'html': ['HTML'], 'css': ['CSS'], 'javascript': ['Javascript']}"
1936,"Great instruction, well-described. Assignments felt like logical extensions of the material presented.","{'instruct': ['instruction'], 'assign': ['Assignments'], 'extens': ['extensions'], 'materi': ['material']}"
1937,It was a nice course although I'd have appreciated more if it could have been more in depth with CSS... ,"{'cours': ['course'], 'depth': ['depth'], 'css': ['CSS']}"
1938,Teacher was very good.,{'teacher': ['Teacher']}
1939,Very good introduction to web technologies.,"{'introduct': ['introduction'], 'web technolog': ['web technologies']}"
1940,Unnecessary course for this kind of specialization... ,"{'cours': ['course'], 'kind': ['kind'], 'special': ['specialization']}"
1941,"I am a Java Expert and over 10 years of experience in Software Engineering. So a lot things like controle structures are well know to me. However it was never boring and I had a lot of fun getting into HTML, CSS and JavaScript.","{'java expert': ['Java Expert'], 'year': ['years'], 'experi': ['experience'], 'softwar engin': ['Software Engineering'], 'lot thing': ['lot things'], 'structur': ['structures'], 'lot': ['lot'], 'fun': ['fun'], 'html': ['HTML'], 'css': ['CSS'], 'javascript': ['JavaScript']}"
1942,The course covers up all the basics in the most clear way. Definetely worth the time!,"{'cours': ['course'], 'basic': ['basics'], 'way': ['way'], 'time': ['time']}"
1943,wonderful,{}
1944,the teacher is amazing I wish he was the same one who teach us the rest of fullstack of webdevelopment,"{'teacher': ['teacher'], 'one': ['one'], 'rest': ['rest'], 'fullstack': ['fullstack']}"
1945,Great course ! ,{'cours': ['course']}
1946,"Practical, not just syntax, but examples you can build on.","{'practic': ['Practical'], 'syntax': ['syntax'], 'exampl': ['examples']}"
1947,looking forward to learn more.,{}
1948,Excellent for Beginners,{'beginn': ['Beginners']}
1949,All is greate !!! Thanks!,"{'great': ['greate'], 'thank': ['Thanks']}"
1950,Course is well structured and very helpful!,{'cours': ['Course']}
1951,Very well presented and informative. Some of the early assignments are hard to grade if the person makes a small mistake and the only possible marks are 0% and 100%.,"{'assign': ['assignments'], 'grade': ['grade'], 'person': ['person'], 'mistak': ['mistake'], 'mark': ['marks'], '%': ['%']}"
1952,"Valuable course as a start point, got a general overview of all components in a web system and also got started on basic front end design.","{'valuabl cours': ['Valuable course'], 'start point': ['start point'], 'overview': ['overview'], 'compon': ['components'], 'web system': ['web system'], 'end design': ['end design']}"
1953,"Learning new skill through succinct teaching was a wonderful experience. The course covered good details of the programming languages, but personally I think it was not in-dept learning. I think more learning material along with advanced assignments should be provided for more vivid learners.Overall, it was a course worth taking for me.-Bhushan ","{'learn skill': ['Learning skill'], 'teach': ['teaching'], 'experi': ['experience'], 'cours': ['course'], 'detail': ['details'], 'program languag': ['programming languages'], 'learn': ['learning'], 'materi': ['material'], 'assign': ['assignments'], 'learners.overal': ['learners.Overall']}"
1954,Ecellent Course,{'ecel cours': ['Ecellent Course']}
1955,excellent class!,{'class': ['class']}
1956,excellent ,{}
1957,This course is designed very well.,{'cours': ['course']}
1958,This course was really useful for me. Good teacher and material.,"{'cours': ['course'], 'teacher': ['teacher'], 'materi': ['material']}"
1959,Excellent introduction.,{'introduct': ['introduction']}
1960,Very useful for web developers beginners.,{'web develop beginn': ['web developers beginners']}
1961,Nice course for basic learning and strong foundations!!,"{'cours': ['course'], 'learn': ['learning'], 'foundat': ['foundations']}"
1962,Content is good enough for beginners in web development but must have previously programming experience. The assignments are very strong and help understanding more. I think this is a good start point but some other operation on images and styles not covered.,"{'content': ['Content'], 'beginn': ['beginners'], 'web develop': ['web development'], 'experi': ['experience'], 'assign': ['assignments'], 'help': ['help'], 'understand': ['understanding'], 'start point': ['start point'], 'oper': ['operation'], 'imag': ['images'], 'style': ['styles']}"
