,comment,target
133,This Course is a Great One! I hope many peoples will improve their knowledge following Vanderbilt University's Courses because of the Professors Great explaining manner!Thank you all,"{'cours': ['Course', 'Courses'], 'great': ['Great'], 'peopl': ['peoples'], 'knowledg': ['knowledge'], 'professor': ['Professors'], 'manner!thank': ['manner!Thank']}"
134,Should just be called 'Introduction of Java for absolute beginners'. I don't recall anything '...for Android' about the coding.Some of the lecturers are so bad at speaking that it's painful to listen to. I really expected better.,"{'introduct': ['Introduction'], 'java': ['Java'], 'beginn': ['beginners'], 'android': ['Android'], 'coding.som': ['coding.Some'], 'lectur': ['lecturers']}"
135,"Recommend this course for people with some coding background. For those never code before, going through this course in 4 weeks can be a very challenging journey. ","{'cours': ['course'], 'peopl': ['people'], 'background': ['background'], 'code': ['code'], 'week': ['weeks'], 'journey': ['journey']}"
136,great course,{'cours': ['course']}
137,"Well done, well explained, good assignments, looking forward to take the second.",{'assign': ['assignments']}
138,I feel I have really solidified my understanding of Java basics for the purposes of learning the Android development platform,"{'understand': ['understanding'], 'java basic': ['Java basics'], 'purpos': ['purposes'], 'develop platform': ['development platform']}"
139,Grate Course content and very well explained.,{'grate cours content': ['Grate Course content']}
140,This is a good course but there's some flaws not about knowledge ,"{'cours': ['course'], 'flaw': ['flaws'], 'knowledg': ['knowledge']}"
141,"The assignments are challenging and well balanced. The extra provided code adds a good opportunity to see how professional programmers code and the course videos explain all the content clearly and in an organized fashion. Overall, the course is made easy through the videos and the assignments do well to compel good and continuous practice. ","{'assign': ['assignments'], 'code': ['code'], 'opportun': ['opportunity'], 'programm code': ['programmers code'], 'cours': ['course'], 'video': ['videos'], 'content': ['content'], 'fashion': ['fashion'], 'practic': ['practice']}"
142,"Very very bad communication from the teachers. The 2nd MOOC was supposed to start I think 2.5 months ago, it did not start at the time of this review. They did not even bother to post some announcement to let the students know ok course starts in x months.Making things worse, you cannot get a refund if you purchased the entire thing.","{'communic': ['communication'], 'teacher': ['teachers'], 'mooc': ['MOOC'], 'time': ['time'], 'review': ['review'], 'student': ['students'], 'cours': ['course'], 'thing': ['things', 'thing'], 'refund': ['refund']}"
143,very interesting course for beginners and wannabe app developers ,"{'cours': ['course'], 'beginn': ['beginners'], 'wannab app develop': ['wannabe app developers']}"
144," This course wasn't well suited to me, being a person with a programming background. It was too introductory. But that doesn't say anything against the course. The reason I don't rate the course highly is that it just wasn't that coherent. I would have preferred to have a single, consistently good instructor. ","{'cours': ['course'], 'person': ['person'], 'program background': ['programming background'], 'reason': ['reason'], 'instructor': ['instructor']}"
145,"It's a good course, but you do need programming experience. Also, takes twice as much time as they say, at least. Also, third week of course has a lot of work, while fourth week has very little. Would be nice to balance them out. I did get a lot out of the course and plan to continue with this specialization.","{'cours': ['course'], 'program experi': ['programming experience'], 'time': ['time'], 'week': ['week'], 'lot': ['lot'], 'work': ['work'], 'special': ['specialization']}"
146,"Awesome content, all the requiered foundations for the real beginning in the Android world.","{'content': ['content'], 'foundat': ['foundations'], 'begin': ['beginning'], 'world': ['world']}"
147,Course was really good.If someone is not having any coding experience then also he can learn with the help of these courses.,"{'cours': ['courses', 'Course'], 'good.if someon': ['good.If someone'], 'experi': ['experience'], 'help': ['help']}"
148,"I loved this intro to Android. It was a great refresher on Java and gave a peek into the Android framework that is intimidating, but makes me want to learn more!","{'intro': ['intro'], 'android': ['Android'], 'refresh': ['refresher'], 'java': ['Java']}"
149, Very Helpful ,{}
150,Excellent Course. ,{'cours': ['Course']}
151,"I wouldn't recommend this to student who has never programmed in any computer language before. A bright, aggressive, student could learn this material with help of online examples, etc. The basic language features, etc, are pretty straight forward, but the object oriented features are probably too advanced for someone 3 weeks into programming. As an experienced programmer in other languages C++ Python Perl I found it was about the right pace to do in addition to my real job, and am looking forward to the rest of the series coming online.","{'student': ['student'], 'comput languag': ['computer language'], 'materi': ['material'], 'help': ['help'], 'exampl': ['examples'], 'languag featur': ['language features'], 'featur': ['features'], 'someon week': ['someone weeks'], 'program': ['programming'], 'programm': ['programmer'], 'c++ python perl': ['C++ Python Perl'], 'pace': ['pace'], 'addit': ['addition'], 'job': ['job'], 'rest': ['rest'], 'seri': ['series'], 'onlin': ['online']}"
152,Excellent Course!,{'cours': ['Course']}
153,Content was good. But organization could have been better. Assignments and auto-grader had issues and the problem statements were modified during the course. ,"{'content': ['Content'], 'organ': ['organization'], 'assign': ['Assignments'], 'auto-grad': ['auto-grader'], 'issu': ['issues'], 'problem statement': ['problem statements'], 'cours': ['course']}"
154,"Good course. First time enrolled course in Coursera. I really enjoyed it. Lots of quiz and weekly assignment kept me busy for 4 weeks. And because of these assignment due date , i really learned by forcing myself to complete all in time. Quite tough on week 3, and i watched the videos multiple times and google the subject in order to understand the contents. Take this course, and struggle for 4 weeks. Will not regret. ","{'cours': ['course'], 'time': ['times', 'time'], 'coursera': ['Coursera'], 'lot': ['Lots'], 'quiz': ['quiz'], 'assign': ['assignment'], 'week': ['week', 'weeks'], 'date': ['date'], 'video': ['videos'], 'subject': ['subject'], 'content': ['contents'], 'struggl': ['struggle']}"
155,Java for Android was everything I expected. The lectures and assignments were very clear. The instructors and mentors were very helpful. I am looking forward to the next class.,"{'java': ['Java'], 'android': ['Android'], 'everyth': ['everything'], 'assign': ['assignments'], 'instructor': ['instructors'], 'mentor': ['mentors'], 'class': ['class']}"
156,Very nice course for beginners,"{'cours': ['course'], 'beginn': ['beginners']}"
157,"A good introduction to java programming, the mentor team was really helpful and interactive and it was a pleasure to interact with them!Unfortunately, it is clear that this course still needs to be polished some assignments contained mistakes or where even bugged. Mistakes and bugs have been fixed when they were reported but it still left an amateur aftertaste especially considering that we had to wait for a few weeks for this course ","{'introduct': ['introduction'], 'program': ['programming'], 'mentor team': ['mentor team'], 'pleasur': ['pleasure'], 'cours': ['course'], 'assign': ['assignments'], 'mistak': ['mistakes', 'Mistakes'], 'bug': ['bugs'], 'aftertast': ['aftertaste'], 'week': ['weeks']}"
158,Nice preparation to Java.,"{'prepar': ['preparation'], 'java': ['Java']}"
