,comment,target
94," Despite not being very fond of areas such as human-computer interaction, I found this course to be well-presented and useful. Definitely a necessity for anyone planning on building secure software. ","{'area': ['areas'], 'interact': ['interaction'], 'cours': ['course'], 'necess': ['necessity'], 'anyon plan': ['anyone planning'], 'build softwar': ['building software']}"
95,"Great course, with really well-explained and interesting classes. A minor problem was the audio issues, but nothing that would hinder your learning.","{'cours': ['course'], 'class': ['classes'], 'problem': ['problem'], 'issu': ['issues'], 'noth': ['nothing'], 'learn': ['learning']}"
96,Informative and the reading material for the week helped a lot ,"{'read materi': ['reading material'], 'week': ['week'], 'lot': ['lot']}"
97,I like how in depth this gets. it explains it very well an in ways for people who are starting off in this field to get a basic understanding in exactly what we are learning. very well put together! ,"{'depth': ['depth'], 'way': ['ways'], 'peopl': ['people'], 'field': ['field'], 'understand': ['understanding']}"
98,"I'm not a cyber professional, but I deal with a lot of security issues just as a part of the job. I'm also researching new hardware methods for cyber security systems. I found aspects of this course to be useful to me. Enjoyed the ","{'lot': ['lot'], 'secur issu': ['security issues'], 'part': ['part'], 'job': ['job'], 'hardwar method': ['hardware methods'], 'cyber secur system': ['cyber security systems'], 'aspect': ['aspects'], 'cours': ['course']}"
99,Great course with enriching materials to support. ,"{'cours': ['course'], 'materi': ['materials']}"
100,I really learned so much from this course,{'cours': ['course']}
101,Very interesting and a different approach to make security acceptable to users. Currnet technology allow that,"{'approach': ['approach'], 'secur': ['security'], 'user': ['users']}"
102,Clear and professional!,{}
103,Very informative! ,{}
104,A really good course in usable security. A little more of assignments would have been better,"{'cours': ['course'], 'secur': ['security'], 'assign': ['assignments']}"
105,"Reasonable class about designing user interfaces, not much about cybersecurity.","{'class': ['class'], 'cybersecur': ['cybersecurity']}"
106,I just completed the course. This course is recommended to beginners like me because I learned a new perspective to cyber security. It is exciting to see the psychological aspects in cyber security. I would have given more rating if social engineering is explained too. This is just an introduction to the course and may not be appealing for people already in the field which should be expected anyway.,"{'cours': ['course'], 'beginn': ['beginners'], 'perspect': ['perspective'], 'cyber secur': ['cyber security'], 'aspect': ['aspects'], 'rate': ['rating'], 'engin': ['engineering'], 'introduct': ['introduction'], 'peopl': ['people'], 'field': ['field']}"
107,The concepts are explained in best way so that even the layman can understand it and use it in his daily life and be secured,"{'concept': ['concepts'], 'way': ['way'], 'layman': ['layman'], 'life': ['life']}"
