,comment,target
74,Never know anything about Data Structure before this course and it changes everything!!! a MUST for any CS student or professional.,"{'anyth': ['anything'], 'data structur': ['Data Structure'], 'cours': ['course'], 'everyth': ['everything'], 'student': ['student'], 'profession': ['professional']}"
75,A very good course. Sets a very strong base in data structures.,"{'cours': ['course'], 'set': ['Sets'], 'base': ['base'], 'data structur': ['data structures']}"
76,Great course,{'cours': ['course']}
77,"Super easy and practical way of leraning the basic data structures, and some other important CS topics.","{'super way': ['Super way'], 'data structur': ['data structures'], 'cs topic': ['CS topics']}"
78,One of the best courses of data structures in the world ! ,"{'cours': ['courses'], 'data structur': ['data structures'], 'world': ['world']}"
79,"Great course to introduce intermediate level data structures to the person learning Java. I have previously used these structures in other languages, but this was a good way to knock the rust off my Java skills and update myself on Java implementations. Instructors are great!","{'cours': ['course'], 'level data structur': ['level data structures'], 'person': ['person'], 'java': ['Java'], 'structur': ['structures'], 'languag': ['languages'], 'way': ['way'], 'rust': ['rust'], 'java skill': ['Java skills'], 'java implement': ['Java implementations'], 'instructor': ['Instructors']}"
80,Great course!,{'cours': ['course']}
81,great course and valuable material that is worth to learn ,"{'cours': ['course'], 'materi': ['material']}"
82,There is no one participating or collaborating here! There's no way to get help. ,"{'one': ['one'], 'way': ['way'], 'help': ['help']}"
83,One of the best courses I have found!.,{'cours': ['courses']}
84,Well Done - I enjoyed these key concepts and how they were put across. Also the testing methods are pretty good. ,"{'concept': ['concepts'], 'test method': ['testing methods']}"
85,The concepts introduced and the application of concepts in problems is very good.,"{'concept': ['concepts'], 'applic': ['application'], 'problem': ['problems']}"
86,Learning a lot in this class about OOP and class. ,"{'lot': ['lot'], 'class': ['class'], 'oop': ['OOP']}"
87,Perfect course for intro of data structure,"{'perfect cours': ['Perfect course'], 'intro': ['intro'], 'data structur': ['data structure']}"
88,clear logic and you could get to know data structure in a fast pace,"{'logic': ['logic'], 'data structur': ['data structure'], 'pace': ['pace']}"
89,"Good but it was also good to let the students do some of the codings, I found the coding part actually very simple and short","{'student': ['students'], 'code': ['codings'], 'part': ['part']}"
