,comment,target
172,Great course! Very simple and practical.,{'cours': ['course']}
173,"The course dived into basic and advanced concepts of unsupervised learning. As before, Prof Fox did a great job at explaining things.","{'cours': ['course'], 'concept': ['concepts'], 'learn': ['learning'], 'prof fox': ['Prof Fox'], 'job': ['job']}"
174,this is not a an easy course but certainly an awesome one ,{'cours': ['course']}
175,Excellent! Very good material and lectures and hands on. Really enriching.,{'materi': ['material']}
176,"Very good, not only learn many good ML concepts, but also polish my python programming skill a lot. Thank you, Emily and Carlos.","{'ml concept': ['ML concepts'], 'python program skill': ['python programming skill'], 'lot': ['lot'], 'emili': ['Emily'], 'carlo': ['Carlos']}"
177,"Great course, very hands-on, very practical knowledge.","{'cours': ['course'], 'knowledg': ['knowledge']}"
178,Best course available till date as MooC,"{'cours': ['course'], 'date': ['date'], 'mooc': ['MooC']}"
179,This was another great course. I hope that the instructors indulge in a little bit more theory. Anyway it was a magnificent course. Hope the coming courses are as good as this one.,"{'cours': ['course', 'courses'], 'instructor': ['instructors'], 'bit': ['bit'], 'theori': ['theory'], 'hope': ['Hope']}"
180,Deep insight into most useful techniques of machine learning.,"{'insight': ['insight'], 'techniqu': ['techniques'], 'machin learn': ['machine learning']}"
181,great!,{}
182,Very Good in depth explanation and hand-on lab machine learning course. very focused on real world analytics and algorithms,"{'depth explan': ['depth explanation'], 'hand-on lab machin': ['hand-on lab machine'], 'cours': ['course'], 'world analyt': ['world analytics'], 'algorithm': ['algorithms']}"
183,I loved this course. then content is designed to acquire strong foundations in clustering.,"{'cours': ['course'], 'content': ['content'], 'foundat': ['foundations'], 'cluster': ['clustering']}"
184,"I really learn a lot in this course, although the materials are very difficult at first read, but Emily's explanation were clear and I would be able to get the idea after a few review.","{'lot': ['lot'], 'cours': ['course'], 'materi': ['materials'], 'read': ['read'], 'emili': ['Emily'], 'explan': ['explanation'], 'idea': ['idea'], 'review': ['review']}"
185,From LDA onwards the pace ramped up ! Please be slow during advance topics. But altogether it was a great course.,"{'lda': ['LDA'], 'pace': ['pace'], 'advanc topic': ['advance topics'], 'cours': ['course']}"
186,Excellent course - and of great practical use.,"{'cours': ['course'], 'use': ['use']}"
187,The material covered in this course is immense and gives a deep understanding of several algorithms required to perform unsupervised learning tasks. ,"{'materi': ['material'], 'cours': ['course'], 'understand': ['understanding'], 'algorithm': ['algorithms'], 'learn task': ['learning tasks']}"
188,"This course was awesome as all the previous courses, I'm waiting to the next course and the capstone","{'cours': ['course', 'courses'], 'capston': ['capstone']}"
189,Detailed coverage of several approaches to clustering. Not easy but learned a lot.,"{'coverag': ['coverage'], 'approach': ['approaches'], 'cluster': ['clustering'], 'lot': ['lot']}"
190,Awesome ,{}
191,One of the best machine learning course I have taken.,"{'machin': ['machine'], 'cours': ['course']}"
192,"Another super course. Though admittedly for me at least very difficult to make within the allotted time given for one period of the Course. Lots of advanced stuff that require substantial studies to really comprehend, i.e., it should never be enough just to hack &amp; run the code that's the easier challenge Still have a long washing list of topics coming out of this Course that I need want to understand better. But at least the background to do so is neatly provided here. So without further ado . Applause!","{'cours': ['course', 'Course'], 'time': ['time'], 'lot': ['Lots'], 'stuff': ['stuff'], 'code': ['code'], 'challeng': ['challenge'], 'list': ['list'], 'topic': ['topics'], 'background': ['background']}"
193,Excellent course. ,{'cours': ['course']}
