,comment,target
193,Bill Boyd taught the topics very well..,"{'bill boyd': ['Bill Boyd'], 'topic': ['topics']}"
194,A very good introductionary course that covers almost everything you need as a beginner.,"{'cours': ['course'], 'everyth': ['everything'], 'beginn': ['beginner']}"
195,A very good introductory course !!,{'cours': ['course']}
196,very good,{}
197,"liked,it was simple to follow and with good questions.",{'question': ['questions']}
198,Good for beginners !!!,{'beginn': ['beginners']}
199,"Its project oriented course. After finishing you have still much to learn, but You can taste what and how pratical things can be done in Phyton. I think that You should some background in programming.","{'project': ['project'], 'cours': ['course'], 'thing': ['things'], 'background': ['background'], 'program': ['programming']}"
200,Suitable for beginners. Real quick basic-building.,"{'beginn': ['beginners'], 'basic-build': ['basic-building']}"
201,"This is a great course that teaches you the basics of python. I plan on taking more python courses at a higher level, but this was a nice way to get my feet wet in a new language.","{'cours': ['courses', 'course'], 'basic': ['basics'], 'python': ['python'], 'level': ['level'], 'way': ['way'], 'feet': ['feet'], 'languag': ['language']}"
202,A really good course for beginners.,"{'cours': ['course'], 'beginn': ['beginners']}"
203,Good basic course. I may have missed it but there was no discussion of libraries or more importantly where to find them until week 3. I keep using 'import xyz' but not really knowing what it was doing. I finally found the library and documentation pages that were talked about in week 03. this seems a good place to actually LOOK at them but I think they should be mention with the first excersise in week 01... here we put in 'import xyz'. this has many many functions in it that allow us to shorten the work that we do. In week 03 we open the documentation file and a library file to see how to navigate those especially the documentation files ,"{'cours': ['course'], 'discuss': ['discussion'], 'librari': ['libraries', 'library'], 'week': ['week'], 'import xyz': ['import xyz'], 'document': ['documentation'], 'function': ['functions'], 'work': ['work'], 'document file': ['documentation file', 'documentation files'], 'librari file': ['library file']}"
204,Good catching up with the basics.,{'basic': ['basics']}
205,A clean introduction to Python for beginners.,"{'introduct': ['introduction'], 'python': ['Python'], 'beginn': ['beginners']}"
206,Very clear! I recommend this course!,{'cours': ['course']}
207,Went too fast.,{}
208,"This course really covers all the basics in a very illustrative manner. I definitely recommend it for absolute beginners in Python, previous programming experience helps but is not necessary to cover the material in a reasonable time.","{'cours': ['course'], 'basic': ['basics'], 'manner': ['manner'], 'beginn': ['beginners'], 'python': ['Python'], 'program experi': ['programming experience'], 'materi': ['material'], 'time': ['time']}"
209,Great introduction to Python,"{'introduct': ['introduction'], 'python': ['Python']}"
210,It's a good introduction course. Thank you so much! ,{'introduct cours': ['introduction course']}
211,"Great introductory course, especially for someone with prior programming experience.","{'cours': ['course'], 'someon': ['someone'], 'program experi': ['programming experience']}"
212,"Thank You Bill! Great! Once I got your way of study it was a pleasure to learn. You introduce methods slowly so that it does not intervene with grasping the whole idea of the subject. Submissions needs to be very precise but that is the joy of learning on line. Sometimes you fail as you are missing one space. In terms of certificate, I do not need one and I it is quite expensive but I would surly support your course by donating. I could not see the option to do it though.Kind regards","{'you bill': ['You Bill'], 'way': ['way'], 'pleasur': ['pleasure'], 'method': ['methods'], 'idea': ['idea'], 'subject': ['subject'], 'submiss': ['Submissions'], 'need': ['needs'], 'joy': ['joy'], 'line': ['line'], 'space': ['space'], 'cours': ['course'], 'option': ['option']}"
213,Very good course,{'cours': ['course']}
214,Nice first steps inside Python language. Teacher helps and supports you through the whole course,"{'step': ['steps'], 'python languag': ['Python language'], 'teacher': ['Teacher'], 'cours': ['course']}"
215,Good for novice,{'novic': ['novice']}
216,A nice concise introduction or review ,"{'introduct': ['introduction'], 'review': ['review']}"
217,"This is by far not my first programming course, but I wanted to learn python. As such, I found the selection of topics very good - first language basics then some libraries. The videos were a good addition. Coming from classical Unix NetBSD, I do not use integrated development environments a lot nor like them, per se , but I found Spyder a positive experience. Thanks esp. for that one! The grading of exercises was sometimes a bit picky, as it was not so clear what the grader was complaining about. More detailled feedback could help there. In general the automated grader is a VERY good thing, though. Thanks a lot for this learning experience! ","{'program cours': ['programming course'], 'python': ['python'], 'select': ['selection'], 'topic': ['topics'], 'languag basic': ['language basics'], 'librari': ['libraries'], 'video': ['videos'], 'addit': ['addition'], 'unix netbsd': ['Unix NetBSD'], 'develop environ': ['development environments'], 'lot': ['lot'], 'spyder': ['Spyder'], 'experi': ['experience'], 'thank': ['Thanks'], 'grade': ['grading'], 'exercis': ['exercises'], 'bit': ['bit'], 'grader': ['grader'], 'feedback': ['feedback'], 'thing': ['thing']}"
218,Concise Indeed,{}
219,"The teacher definitely has an ability to make you understand. Even without the videos, you clearly understand the basics of Python.i wish this would be the first course of a series in Python programming.Great course!","{'teacher': ['teacher'], 'abil': ['ability'], 'video': ['videos'], 'basic': ['basics'], 'python.i wish': ['Python.i wish'], 'cours': ['course'], 'seri': ['series'], 'python programming.great cours': ['Python programming.Great course']}"
220,"Its a very good course to get yourself started with Python, The instructor is very patient with explaining all the concepts. Plus love the auto grader and the assignments ","{'cours': ['course'], 'python': ['Python'], 'instructor': ['instructor'], 'concept': ['concepts'], 'auto grader': ['auto grader'], 'assign': ['assignments']}"
221,This course is a very good introduction. The instructor is good at making the material easy to understand without talking too much. I recommend this course to anyone who has a basic knowledge of how programming works but who has not yet learned any python.,"{'cours': ['course'], 'introduct': ['introduction'], 'instructor': ['instructor'], 'materi': ['material'], 'anyon': ['anyone'], 'knowledg': ['knowledge'], 'program': ['programming'], 'python': ['python']}"
222,"Nice course, Good progression,Pertinent evaluations","{'cours': ['course'], 'progress': ['progression'], 'evalu': ['evaluations']}"
223,"Great beginner course to learn Python for someone with some programming background, but new to Python!","{'beginn cours': ['beginner course'], 'python': ['Python'], 'someon': ['someone'], 'program background': ['programming background']}"
224,I took this course mainly to teach my daughter and to review what I already learned years ago. Teaching style is good and assignments are reasonable. I encourage new programmers to take this course.,"{'cours': ['course'], 'style': ['style'], 'assign': ['assignments'], 'programm': ['programmers']}"
225,"great teacher, great course,THANK YOU, PROFESSOR!!!","{'teacher': ['teacher'], 'cours': ['course']}"
226,excellent course,{'cours': ['course']}
227,"After submitting the assignments and getting score,it will be better if Coursera provides the solution of those assignments.By this,students will get benefit form this that what mistakes they did and how will it will be corrected in future.","{'assign': ['assignments'], 'coursera': ['Coursera'], 'solut': ['solution'], 'student': ['students'], 'benefit form': ['benefit form'], 'mistak': ['mistakes'], 'futur': ['future']}"
228,"Self contained, hard to find hands-on course ,that offers accessible exercises that are progressively difficult ie without dramatic jumps , Do not use this as a comprehensive Python training, rather a very good place to practice what you think you have learned...","{'self': ['Self'], 'cours': ['course'], 'exercis': ['exercises'], 'python train': ['Python training'], 'place': ['place']}"
229,For the newbies to Python coding this course is excellent. I will recommend it to my colleagues and friends. I studied Python at University so for me it was easy. As final word I would ask you to make more this courses but for upper levels of knowledge. Thanks. All best!,"{'newbi': ['newbies'], 'python': ['Python'], 'cours': ['courses', 'course'], 'colleagu': ['colleagues'], 'friend': ['friends'], 'univers': ['University'], 'word': ['word'], 'level': ['levels'], 'knowledg': ['knowledge'], 'thank': ['Thanks']}"
230,Excellent course. ,{'cours': ['course']}
231,Concise but useful introduction to Python. Teaching methodology is great. ,"{'introduct': ['introduction'], 'python': ['Python']}"
232,This course is very useful to know the basic python language,"{'cours': ['course'], 'python languag': ['python language']}"
233,"Great introductory course. The explanations are very straightforward, the examples introduce the important basic matter and the exercices help a lot in learning to use the learned material.","{'cours': ['course'], 'explan': ['explanations'], 'exampl': ['examples'], 'matter': ['matter'], 'exercic': ['exercices'], 'lot': ['lot'], 'materi': ['material']}"
234,Excellent Course for a beginner.Looking forward to more classes by the same instructor and support groups. Thanks! ,"{'cours': ['Course'], 'beginner.look': ['beginner.Looking'], 'class': ['classes'], 'instructor': ['instructor'], 'support group': ['support groups'], 'thank': ['Thanks']}"
235,Excellent course to get a quick grasp of how python works and start using it,"{'cours': ['course'], 'grasp': ['grasp'], 'work': ['works']}"
236,the code shown in the video was not clear enough in some modules. Topics were explained in easy and understandable manner,"{'code': ['code'], 'video': ['video'], 'modul': ['modules'], 'topic': ['Topics'], 'manner': ['manner']}"
237,Good practice. Straight forward information.,"{'practic': ['practice'], 'inform': ['information']}"
238,A great course! ,{'cours': ['course']}
239,Best study material and very apt from a beginner perspective of learning,{'studi materi': ['study material']}
240,Too easy.,{}
241,"Brilliant intro for coding,. I suggest everyone starts from here","{'intro': ['intro'], 'everyon': ['everyone']}"
242,"I found this course as per my expectations. For first time learners, having minimal programming language experience can also learn python. Very nice explanation and course coverage.","{'cours': ['course'], 'expect': ['expectations'], 'time learner': ['time learners'], 'program languag experi': ['programming language experience'], 'python': ['python'], 'explan': ['explanation'], 'cours coverag': ['course coverage']}"
243,"This was a good solid intro course. Got a good working understanding of the Python program basics out of this. He taught less about programming basics ie not a completely intro computing class than another Python course I tried, which is what I wanted. Probably wouldn't be the class to recommend if this is your first programming class. Work time expectations were as listed. ","{'intro cours': ['intro course'], 'work understand': ['working understanding'], 'python program basic': ['Python program basics'], 'program basic': ['programming basics'], 'intro': ['intro'], 'comput class': ['computing class'], 'python cours': ['Python course'], 'class': ['class'], 'program class': ['programming class'], 'work time expect': ['Work time expectations']}"
244,The course is interesting and good for developer to learn python. ,"{'cours': ['course'], 'develop': ['developer'], 'python': ['python']}"
245,Great Course!!! Have help me gain more confidence. Nice Examples,"{'cours': ['Course'], 'confid': ['confidence'], 'exampl': ['Examples']}"
246,Nice Basic course with enough explanations. The video quality was not good and text in video was barely visible.,"{'cours': ['course'], 'explan': ['explanations'], 'qualiti': ['quality'], 'text': ['text'], 'video': ['video']}"
247,Outstanding Course. Thank you for teaching this course. ,"{'cours': ['course', 'Course']}"
248,Great course material,"{'cours': ['course'], 'materi': ['material']}"
249,"Pros I liked the programming examples and problems approach. I learned a lot, and feel confident to use python in future for more complicated scientific computing.cons The videos were too long, and I found I had all the info in the examples. I would have liked more guidance on how to build up simple structured programmes - the final assignment you have a giant programme already built, whereas you could have set some exercises for split this code into two subroutines that handle different jobs.The autograder was really frustrating sorry, I know it must be difficult to make something fair and automatic , but the great thing about a compiler or running a program is that you get to see the errors. The autograder just says 3 errors, and the problem turns out to be nothing to do with my program, which already produces the desired output.","{'program exampl': ['programming examples'], 'problem': ['problems', 'problem'], 'lot': ['lot'], 'python': ['python'], 'futur': ['future'], 'computing.con': ['computing.cons'], 'video': ['videos'], 'info': ['info'], 'exampl': ['examples'], 'guidanc': ['guidance'], 'programm': ['programmes', 'programme'], 'assign': ['assignment'], 'exercis': ['exercises'], 'split': ['split'], 'code': ['code'], 'subroutin': ['subroutines'], 'jobs.th autograd': ['jobs.The autograder'], 'someth': ['something'], 'thing': ['thing'], 'compil': ['compiler'], 'program': ['program'], 'error': ['errors'], 'autograd': ['autograder'], 'noth': ['nothing'], 'output': ['output']}"
250,"Very good course, lesson are clear and the teacher explain very well. I'll follow up the next course ","{'cours': ['course'], 'lesson': ['lesson'], 'teacher': ['teacher']}"
251,G,{}
252,Very well explained concepts. I would recommend this to every Python beginner.,"{'concept': ['concepts'], 'python beginn': ['Python beginner']}"
253,The course is is targeting total beginners in programming. The material is very basic and much topics are not even touched. ,"{'cours': ['course'], 'beginn': ['beginners'], 'program': ['programming'], 'materi': ['material'], 'topic': ['topics']}"
254,A good course with adequate practice on spyder IDE.,"{'cours': ['course'], 'practic': ['practice'], 'spyder ide': ['spyder IDE']}"
255,a good start for beginners,"{'start': ['start'], 'beginn': ['beginners']}"
256,Makes a lot of sense,{'lot': ['lot']}
257,T,{}
258,A good introductory course to programming in python,"{'cours': ['course'], 'program': ['programming'], 'python': ['python']}"
259,Best introductory course in python,"{'cours': ['course'], 'python': ['python']}"
260,"The instructor is excellent at explaining everything step by step and takes time to answer questions in detail at the discussion forums. It has been a pleasure, thank you very much!","{'instructor': ['instructor'], 'everyth step': ['everything step'], 'step': ['step'], 'time': ['time'], 'question': ['questions'], 'detail': ['detail'], 'discuss forum': ['discussion forums'], 'pleasur': ['pleasure']}"
261,Good quick introduction. Very good. Easy to work through the Exercise Sets. Professor typing on he keyboard quite loud.,"{'introduct': ['introduction'], 'easi': ['Easy'], 'exercis set': ['Exercise Sets'], 'professor type': ['Professor typing'], 'keyboard': ['keyboard']}"
262,Good course.,{'cours': ['course']}
263,Delivers what it promises! A concise introduction,{'introduct': ['introduction']}
264,"This course has made learn the fundamental basics of programing using python language. It has given a concrete foundation to progress in my programing career to model engineering solutions to real problems using python an easy, concise and readable language. On look out for more of such an interesting course.","{'cours': ['course'], 'basic': ['basics'], 'python languag': ['python language'], 'foundat': ['foundation'], 'program career': ['programing career'], 'model engin solut': ['model engineering solutions'], 'problem': ['problems'], 'python': ['python'], 'languag': ['language'], 'look': ['look']}"
265,"Great introductory course. Slightly on the light side for developers looking to learn a new language, but absolutely perfect for non developers looking to learn basic programming skills.Well done guys!","{'cours': ['course'], 'side': ['side'], 'develop': ['developers'], 'languag': ['language'], 'program skills.wel': ['programming skills.Well'], 'guy': ['guys']}"
266,"Nice standard introduction to python. Courses were clean and excercises were good. On the whole, a good introduction","{'introduct': ['introduction'], 'python': ['python'], 'cours': ['Courses'], 'excercis': ['excercises'], 'whole': ['whole']}"
267,"too basic, wish they had more content",{'wish': ['wish']}
268,good introduction to python,{'introduct': ['introduction']}
269,Very nice. Essentials are enough to start in Python Programming.,"{'essenti': ['Essentials'], 'python program': ['Python Programming']}"
270,A very good introductory course to learning Python.,"{'cours': ['course'], 'python': ['Python']}"
271,"The course content was very genuine which helped me learn commands that I did not come across in any other Python course.Thank you, Mr. Boyd. ","{'cours content': ['course content'], 'python course.thank': ['Python course.Thank'], 'mr. boyd': ['Mr. Boyd']}"
272,I'm completely new to programming. the assignments are very challenging which made me fall deep in love with programming. Thanks for everyone who participated in creating this wonderful course.,"{'program': ['programming'], 'assign': ['assignments'], 'love': ['love'], 'thank': ['Thanks'], 'everyon': ['everyone'], 'cours': ['course']}"
273,"This is a very good starter course, and it covers most of the things a beginner would need. The exercise were great, and so was the assignments graded by the auto-grader. There were one or two questions that proposed outputs wasn't what the auto-grader wanted, but you will figure it out when you get there. Great course. ","{'cours': ['course'], 'thing': ['things'], 'beginn': ['beginner'], 'exercis': ['exercise'], 'assign': ['assignments'], 'question': ['questions'], 'output': ['outputs']}"
274,Good course!,{'cours': ['course']}
275,This is an excellent introductory course of python programming. I truly enjoyed the course. Professor Boyd interacted with students frequently in the discussion forum. The mentors were very responsive and helpful as well. I am able to move on to an advanced python course easily upon completion of this course. ,"{'cours': ['course'], 'python program': ['python programming'], 'professor boyd': ['Professor Boyd'], 'student': ['students'], 'discuss forum': ['discussion forum'], 'mentor': ['mentors'], 'python cours': ['python course'], 'complet': ['completion']}"
276,Great introduction to the Python programming language. Although the assignment marking seems a little rigid and tends to mark you down despite written functions achieving the expected outcomes. ,"{'introduct': ['introduction'], 'python program languag': ['Python programming language'], 'assign': ['assignment'], 'function': ['functions'], 'outcom': ['outcomes']}"
277,Absolute beginner's course. Quick and easy overview of the absolute basic features in Python. 4 5,"{'beginn': ['beginner'], 'cours': ['course'], 'featur': ['features'], 'python': ['Python']}"
278, A very handy course to get a good start with Python programming language. It is positioned well for the beginner audience.,"{'cours': ['course'], 'start': ['start'], 'python program languag': ['Python programming language'], 'beginn audienc': ['beginner audience']}"
279,great course,{'cours': ['course']}
280,Concise but very clear and rich in exercises to immediately apply and cement the material,"{'exercis': ['exercises'], 'materi': ['material']}"
281,Totally worth it,{}
282,Good introduction on Python. ,"{'introduct': ['introduction'], 'python': ['Python']}"
283,Great course. Fantasitic approach and flow to teach Python!,"{'cours': ['course'], 'approach': ['approach'], 'flow': ['flow'], 'python': ['Python']}"
284,A very good course for starting with python. If you already know something about programming this is perfect for starting knowing how wonderful is python.,"{'cours': ['course'], 'python': ['python'], 'someth': ['something']}"
285, This is a great course to start with for all the beginners out there who want to learn python. Very beautifully explained and made easy. Also doubts are cleared on the discussion forum regulary and as quick as possible.Thank you Proff. Boyd. Thank you coursera ,"{'cours': ['course'], 'beginn': ['beginners'], 'python': ['python'], 'discuss forum': ['discussion forum'], 'possible.thank proff': ['possible.Thank Proff'], 'boyd': ['Boyd'], 'coursera': ['coursera']}"
