,comment,ratio
176,"Great course, very hands-on, very practical knowledge.",0.5
177,Best course available till date as MooC,0.857142857143
178,This was another great course. I hope that the instructors indulge in a little bit more theory. Anyway it was a magnificent course. Hope the coming courses are as good as this one.,0.648648648649
179,Deep insight into most useful techniques of machine learning.,0.8
180,great!,0.5
181,Very Good in depth explanation and hand-on lab machine learning course. very focused on real world analytics and algorithms,0.681818181818
182,I loved this course. then content is designed to acquire strong foundations in clustering.,0.75
183,"I really learn a lot in this course, although the materials are very difficult at first read, but Emily's explanation were clear and I would be able to get the idea after a few review.",0.775
184,From LDA onwards the pace ramped up ! Please be slow during advance topics. But altogether it was a great course.,0.782608695652
185,Excellent course - and of great practical use.,0.777777777778
186,The material covered in this course is immense and gives a deep understanding of several algorithms required to perform unsupervised learning tasks. ,0.782608695652
187,"This course was awesome as all the previous courses, I'm waiting to the next course and the capstone",0.714285714286
188,Detailed coverage of several approaches to clustering. Not easy but learned a lot.,0.8
189,Awesome :),0.5
190,One of the best machine learning course I have taken.,0.909090909091
191,"Another super course. Though admittedly (for me at least) very difficult to make within the allotted time given for one period of the Course. Lots of advanced stuff that require substantial studies to really comprehend, i.e., it should never be enough just to hack &amp; run the code (that's the easier challenge). Still have a long washing list of topics coming out of this Course that I need (want) to understand better. But at least the background to do so is neatly provided here. So without further ado ... Applause!",0.614678899083
192,Excellent course. ,0.666666666667
193,"Some of the interesting topics discussed in this course could be treated substantially more extensive and detailed in order to get a better grip and understanding on them (e.g. Gibbs sampling). After this course, it is a bit dazzling how much different algorithms and methods are available for clustering and retrieval tasks and this course easily could have been subdivided into two or three separate courses on the same topic with a more detailed treatment. Still, about many interesting subjects a tip of the iceberg has been brought to you ... it tastes so good that you would like to have much more!",0.553571428571
194,"Amazing course, really helpful, as a ML researcher you need this kind of foundation",0.8125
195,"The best course in the specialization thus far. Very rich and wide ranging, perfect for the motivated part-time learner who wants to be challenged and have ample reason to revisit the material. I only wish this course had been longer, perhaps shortening the classification course to make room.",0.672727272727
196,a practical and interesting course about clustering and retrival,0.777777777778
